,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
138,258,194980,6,1.0,5.0,1.0,4.0,75,7.160000000000004,10,17,2.0,0.0,12,0.0,,-1.0,0.0,2,,,-1
139,309,194980,-6,-1.0,-5.0,-1.0,-4.0,-75,-7.160000000000004,-10,-17,-2.0,0.0,-12,0.0,,1.0,0.0,-2,,,1
140,180,194980,-13,0.0,-13.0,-12.0,0.0,-86,-7.3799999999999955,-31,-46,-1.0,-5.0,-14,0.0,,-1.0,1.0,4,,0.0,-1
141,62,194980,13,0.0,13.0,12.0,0.0,86,7.3799999999999955,31,46,1.0,5.0,14,0.0,,1.0,-1.0,-4,,0.0,1
142,273,194981,0,-1.0,1.0,-2.0,3.0,-182,-4.290000000000006,-24,-43,12.0,-1.0,-24,,,2.0,0.0,-2,,,1
143,66,194981,0,1.0,-1.0,2.0,-3.0,182,4.290000000000006,24,43,-12.0,1.0,24,,,-2.0,0.0,2,,,-1
144,246,194981,1,1.0,0.0,1.0,-1.0,90,5.109999999999999,-37,0,-3.0,0.0,12,0.0,,0.0,0.0,-12,,,0
145,258,194981,-1,-1.0,0.0,-1.0,1.0,-90,-5.109999999999999,37,0,3.0,0.0,-12,0.0,,0.0,0.0,12,,,0
146,734,194981,3,2.0,1.0,1.0,2.0,-22,3.3299999999999983,-11,14,6.0,-1.0,-2,1.0,,,-1.0,1,,,1
147,180,194981,-3,-2.0,-1.0,-1.0,-2.0,22,-3.3299999999999983,11,-14,-6.0,1.0,2,-1.0,,,1.0,-1,,,-1
148,496,194981,13,,14.0,8.0,4.0,105,11.870000000000005,59,26,-2.0,1.0,14,0.0,,1.0,1.0,-6,,,0
149,282,194981,-13,,-14.0,-8.0,-4.0,-105,-11.870000000000005,-59,-26,2.0,-1.0,-14,0.0,,-1.0,-1.0,6,,,0
150,309,194981,-5,-2.0,-3.0,-5.0,-1.0,-249,-13.820000000000007,-14,-11,-3.0,1.0,-28,3.0,,0.0,-1.0,-5,,,-1
151,53,194981,5,2.0,3.0,5.0,1.0,249,13.820000000000007,14,11,3.0,-1.0,28,-3.0,,0.0,1.0,5,,,1
152,62,194981,18,13.0,5.0,21.0,3.0,464,33.349999999999994,40,59,-1.0,6.0,52,,,,2.0,-7,1.0,,1
153,338,194981,-18,-13.0,-5.0,-21.0,-3.0,-464,-33.349999999999994,-40,-59,1.0,-6.0,-52,,,,-2.0,7,-1.0,,-1
154,66,194982,-8,-8.0,0.0,0.0,-9.0,-332,-24.32,-72,-39,4.0,-3.0,-40,4.0,,9.0,-1.0,7,0.0,,0
155,53,194982,8,8.0,0.0,0.0,9.0,332,24.32,72,39,-4.0,3.0,40,-4.0,,-9.0,1.0,-7,0.0,,0
156,282,194982,1,2.0,-1.0,0.0,-1.0,128,15.420000000000002,-15,-14,-1.0,1.0,16,0.0,,0.0,3.0,-9,,,1
157,338,194982,-1,-2.0,1.0,0.0,1.0,-128,-15.420000000000002,15,14,1.0,-1.0,-16,0.0,,0.0,-3.0,9,,,-1
158,180,194982,-4,4.0,-8.0,0.0,-5.0,-213,-14.989999999999995,-27,-24,-7.0,-6.0,-30,1.0,1.0,-2.0,1.0,-2,1.0,,1
159,246,194982,4,-4.0,8.0,0.0,5.0,213,14.989999999999995,27,24,7.0,6.0,30,-1.0,-1.0,2.0,-1.0,2,-1.0,,-1
160,258,194982,-2,-1.0,-1.0,-1.0,-1.0,92,9.149999999999999,24,3,5.0,-4.0,10,0.0,,0.0,0.0,25,,,-1
161,496,194982,2,1.0,1.0,1.0,1.0,-92,-9.149999999999999,-24,-3,-5.0,4.0,-10,0.0,,0.0,0.0,-25,,,1
162,734,194982,9,2.0,7.0,7.0,1.0,51,1.75,58,52,0.0,3.0,6,2.0,,-3.0,0.0,4,1.0,,0
163,309,194982,-9,-2.0,-7.0,-7.0,-1.0,-51,-1.75,-58,-52,0.0,-3.0,-6,-2.0,,3.0,0.0,-4,-1.0,,0
164,62,194982,9,2.0,7.0,7.0,4.0,437,15.349999999999994,87,26,-1.0,3.0,42,,,1.0,1.0,0,1.0,,1
165,273,194982,-9,-2.0,-7.0,-7.0,-4.0,-437,-15.349999999999994,-87,-26,1.0,-3.0,-42,,,-1.0,-1.0,0,-1.0,,-1
166,66,194980,-1,1.0,-2.0,1.0,-2.0,270,17.17,43,16,2.0,0.0,28,1.0,,-1.0,1.0,-3,,,0
167,734,194980,1,-1.0,2.0,-1.0,2.0,-270,-17.17,-43,-16,-2.0,0.0,-28,-1.0,,1.0,-1.0,3,,,0
168,338,194980,1,2.0,,-2.0,,-286,-26.340000000000003,-1,-18,-1.0,-6.0,-38,2.0,,1.0,0.0,6,,0.0,0
